xmin,ymin,xmax,ymax,name,file,width,height,class,Xcent,Ycent,boxW,boxH
1649,1179,2363,1787,car,img_2297,4032,3024,,0.4975198412698413,0.4904100529100529,0.17708333333333334,0.20105820105820105
1693,1315,2097,1660,car,img_2745,4032,3024,,0.46999007936507936,0.49189814814814814,0.1001984126984127,0.11408730158730158
1638,1296,2145,1721,car,img_1707,4032,3024,,0.46912202380952384,0.4988425925925926,0.12574404761904762,0.14054232804232805
1412,1152,2373,1910,car,img_2665,4032,3024,,0.4693700396825397,0.5062830687830688,0.23834325396825398,0.25066137566137564
1732,1401,2405,1952,car,img_1712,4032,3024,,0.5130208333333334,0.5543981481481481,0.16691468253968253,0.1822089947089947
1489,1249,2328,1935,car,img_2892,4032,3024,,0.47333829365079366,0.5264550264550265,0.20808531746031747,0.22685185185185186
1527,1243,2033,1689,car,img_1985,4032,3024,,0.44146825396825395,0.48478835978835977,0.12549603174603174,0.1474867724867725
1167,931,2620,1956,car,img_2755,4032,3024,,0.4696180555555556,0.4773478835978836,0.3603670634920635,0.33895502645502645
1500,1169,2441,1937,car,img_2282,4032,3024,,0.4887152777777778,0.513558201058201,0.2333829365079365,0.25396825396825395
1160,895,2642,2102,car,img_2484,4032,3024,,0.4714781746031746,0.4955357142857143,0.36755952380952384,0.39914021164021163
1776,1391,2309,1852,car,img_1645,4032,3024,,0.5065724206349206,0.5362103174603174,0.13219246031746032,0.15244708994708994
1553,1238,2353,1835,car,img_1861,4032,3024,,0.484375,0.5081018518518519,0.1984126984126984,0.1974206349206349
1117,868,2941,2357,car,img_1626,4032,3024,,0.5032242063492064,0.533234126984127,0.4523809523809524,0.4923941798941799
756,809,3422,2947,car,img_1628,4032,3024,,0.5181051587301587,0.621031746031746,0.6612103174603174,0.707010582010582
1528,1208,2109,1716,car,img_2453,4032,3024,,0.45101686507936506,0.4834656084656085,0.1440972222222222,0.167989417989418
1554,1299,2219,1889,car,img_1700,4032,3024,,0.4678819444444444,0.5271164021164021,0.16493055555555555,0.19510582010582012
1508,1217,2104,1812,car,img_2574,4032,3024,,0.4479166666666667,0.5008267195767195,0.14781746031746032,0.19675925925925927
1650,1351,2093,1737,car,img_2455,4032,3024,,0.46416170634920634,0.5105820105820106,0.10987103174603174,0.12764550264550265
1476,1231,2285,1879,car,img_2476,4032,3024,,0.4663938492063492,0.5142195767195767,0.20064484126984128,0.21428571428571427
1678,1035,2343,1797,car,img_1820,4032,3024,,0.4986359126984127,0.46825396825396826,0.16493055555555555,0.251984126984127
1680,1290,2153,1709,car,img_2799,4032,3024,,0.47532242063492064,0.4958664021164021,0.11731150793650794,0.13855820105820105
1640,1407,2114,1786,car,img_1899,4032,3024,,0.46552579365079366,0.5279431216931217,0.11755952380952381,0.12533068783068782
1225,914,2511,2015,car,img_2520,4032,3024,,0.4632936507936508,0.484292328042328,0.3189484126984127,0.36408730158730157
1233,1064,2593,2105,car,img_2728,4032,3024,,0.47445436507936506,0.5239748677248677,0.3373015873015873,0.34424603174603174
1676,1405,2230,1842,car,img_1864,4032,3024,,0.484375,0.5368716931216931,0.13740079365079366,0.144510582010582
1207,956,2608,2060,car,img_2302,4032,3024,,0.4730902777777778,0.49867724867724866,0.3474702380952381,0.36507936507936506
1521,1372,2293,1957,car,img_1856,4032,3024,,0.4729662698412698,0.5504298941798942,0.19146825396825398,0.19345238095238096
925,891,2847,2537,car,img_2001,4032,3024,,0.4677579365079365,0.5667989417989417,0.47668650793650796,0.5443121693121693
1484,1113,2615,2123,car,img_1621,4032,3024,,0.5083085317460317,0.53505291005291,0.2805059523809524,0.333994708994709
1502,1174,2212,1766,car,img_2553,4032,3024,,0.46056547619047616,0.4861111111111111,0.17609126984126985,0.19576719576719576
1694,1390,2056,1674,car,img_1853,4032,3024,,0.4650297619047619,0.5066137566137566,0.08978174603174603,0.09391534391534391
1741,1486,2095,1806,car,img_2030,4032,3024,,0.4756944444444444,0.5443121693121693,0.08779761904761904,0.10582010582010581
1532,1419,2218,1995,car,img_2894,4032,3024,,0.4650297619047619,0.564484126984127,0.1701388888888889,0.19047619047619047
1536,1287,2272,1860,car,img_2397,4032,3024,,0.4722222222222222,0.5203373015873016,0.18253968253968253,0.18948412698412698
1360,1042,2186,1795,car,img_1684,4032,3024,,0.43973214285714285,0.46908068783068785,0.2048611111111111,0.2490079365079365
1677,1287,2096,1642,car,img_1709,4032,3024,,0.4678819444444444,0.484292328042328,0.1039186507936508,0.1173941798941799
1626,1172,2088,1552,car,img_1874,4032,3024,,0.46056547619047616,0.4503968253968254,0.11458333333333333,0.12566137566137567
1300,1194,2471,2154,car,img_2512,4032,3024,,0.46763392857142855,0.5535714285714286,0.2904265873015873,0.31746031746031744
1599,1294,2164,1742,car,img_2423,4032,3024,,0.46664186507936506,0.501984126984127,0.14012896825396826,0.14814814814814814
1360,1121,2455,2039,car,img_2638,4032,3024,,0.4730902777777778,0.5224867724867724,0.27157738095238093,0.30357142857142855
1611,1218,2204,1777,car,img_2436,4032,3024,,0.4730902777777778,0.49520502645502645,0.1470734126984127,0.18485449735449735
1638,1159,2320,1768,car,img_2361,4032,3024,,0.4908234126984127,0.48396164021164023,0.1691468253968254,0.2013888888888889
1625,988,2344,1714,car,img_1606,4032,3024,,0.4921875,0.44675925925925924,0.1783234126984127,0.2400793650793651
1132,870,2431,1975,car,img_2410,4032,3024,,0.4418402777777778,0.47040343915343913,0.32217261904761907,0.3654100529100529
